"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	0	0	0	0	0	0	0
0	2	3	0	0	0	0	0	0
0	3	0	2	0	0	0	0	0
0	4	3	5	0	0	0	0.2	0
0	5	3	4	0	0	0	0.2	0
0	6	3	3	0	0	0	0.1666666667	0
0	7	4	3	0	0	0	0.2	0
0	8	1	0	0	0	0	0	0
0	9	4	4	0	0	0	0.2	0
0	10	2	5	1	1	0	0	0

1	1	0	0	0	0	0	0	0
1	2	3	0	0	0	0	0	0
1	3	0	2	0	0	0	0	0
1	4	3	5	0	0	0	0.2	0
1	5	3	4	0	0	0	0.2	0
1	6	3	3	0	0	0	0.1666666667	0
1	7	4	3	0	0	0	0.2	0
1	8	1	0	0	0	0	0	0
1	9	4	4	0	0	0	0.2	0
1	10	2	5	1	1	0	0	0

2	1	0	0.5	0	0	0	0	0
2	2	3	0	0	0	0	0	0
2	3	0	2	0	0	0	0	0
2	4	3	5	0	0	0	0.2	0
2	5	3	4	0	0	0	0.2	0
2	6	3	3	0	0	0	0.1666666667	0
2	7	4	3	0	0	0	0.2	0
2	8	1	0	0	0	0	0	0
2	9	4	4	0	0	0	0.2	0
2	10	2	5	1	1	0	0	0

3	1	0.3333333333	0.6666666667	0	0	0	0	0
3	2	3	0	0	0	0	0	0
3	3	0	2	0	0	0	0	0
3	4	3	5	0	0	0	0.2	0
3	5	3	4	0	0	0	0.2	0
3	6	3	3	0	0	0	0.1428571429	0
3	7	4	3	0	0	0	0.2	0
3	8	1	0	0	0	0	0	0
3	9	4	4	0	0	0	0.2	0
3	10	2	5	1	1	0	0	0

4	1	0.3333333333	0.6666666667	0	0	0	0	0
4	2	3	0	0	0	0	0	0
4	3	0	2	0	0	0	0	0
4	4	4	5	0	0	0	0.2857142857	0
4	5	3	4	0	0	0	0.25	0
4	6	3	2.5	0	0	0	0.1666666667	0
4	7	4	2.5	0	0	0	0.1538461538	0
4	8	1	0	0	0	0	0	0
4	9	4	4	0	0	0	0.25	0
4	10	2.5	5	1	1	0	0	0

5	1	0.3333333333	0.6666666667	0	0	0	0	0
5	2	3.333333333	0.6666666667	0	0	0	0	0
5	3	0	2	0	0	0	0	0
5	4	4	5	0	0	0	0.2857142857	0
5	5	3	4	0	0	0	0.2222222222	0
5	6	3	2.5	0	0	0	0.1363636364	0
5	7	4	2.5	0	0	0	0.1176470588	0
5	8	1	0	0	0	0	0	0
5	9	4	4	0	0	0	0.2222222222	0
5	10	2.5	5	1	1	0	0	0

6	1	0.3333333333	0.6666666667	0	0	0	0	0
6	2	3.5	0.5	0	0	0	0	0
6	3	0	2	0	0	0	0	0
6	4	3.5	5	0	0	0	0.1666666667	0
6	5	3	3.5	0	0	0	0.09523809524	0
6	6	2.5	2	0	0	0	0.03333333333	0
6	7	4	2.5	0	0	0	0.04545454545	0
6	8	1.5	0	0	0	0	0	0
6	9	4	4	0	0	0	0.1	0
6	10	2	5	1	1	0	0	0

7	1	0.3333333333	0.6666666667	0	0	0	0	0
7	2	3.666666667	0.3333333333	0	0	0	0	0
7	3	0	2	0	0	0	0	0
7	4	3.5	5	0	0	0	0.1666666667	0
7	5	3	4	0	0	0	0.1	0
7	6	3	2	0	0	0	0.02631578947	0
7	7	4	2	0	0	0	0	0
7	8	1.75	0.75	0	0	0	0.02222222222	0
7	9	4	3.5	0	0	0	0.09523809524	0
7	10	2	5	1	1	0	0	0

8	1	0.5	0.5	0	0	0	0	0
8	2	3.666666667	0.3333333333	0	0	0	0	0
8	3	0	2	0	0	0	0	0
8	4	3.5	5	0	0	0	0.1428571429	0
8	5	3	4	0	0	0	0.09090909091	0
8	6	2.75	2.25	0	0	0	0.03846153846	0
8	7	4	2	0	0	0	0	0
8	8	2	1	0	0	0	0.02325581395	0
8	9	4	3.5	0	0	0	0.08695652174	0
8	10	2	5	1	1	0	0	0

9	1	0.5	0.5	0	0	0	0	0
9	2	3.5	0.5	0	0	0	0	0
9	3	0	2	0	0	0	0	0
9	4	4	4.5	0	0	0	0.1052631579	0
