"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	1	2	0	0	0	0.1666666667	0
0	2	0	2	0	0	0	0	0
0	3	2	4	0	0	0	0.1428571429	0
0	4	4	5	0	0	0	0.2	0
0	5	1	0	0	0	0	0	0
0	6	2	5	0	0	0	0	0
0	7	3	0	0	0	0	0.3333333333	0
0	8	3	4	0	0	0	0.1666666667	0
0	9	4	3	0	0	0	0.2	0
0	10	4	2	1	1	0	0	0

1	1	1	2.5	0	0	0	0.1578947368	0
1	2	0	2.5	0	0	0	0.08333333333	0
1	3	2	4	0	0	0	0.1818181818	0
1	4	4	5	0	0	0	0.1666666667	0
1	5	0.5	0	0	0	0	0.1111111111	0
1	6	2	5	0	0	0	0	0
1	7	3	0	0	0	0	0.3333333333	0
1	8	3	3.5	0	0	0	0.2222222222	0
1	9	4	3	0	0	0	0.25	0
1	10	3.5	2	1	1	0	0	0

2	1	0.5	3	0	0	0	0.125	0
2	2	0	2	0	0	0	0.1428571429	0
2	3	2	4	0	0	0	0.1818181818	0
2	4	4	5	0	0	0	0.1428571429	0
2	5	0.5	0	0	0	0	0.25	0
2	6	2	5	0	0	0	0	0
2	7	3	0	0	0	0	0.5	0
2	8	2.666666667	3.333333333	0	0	0	0.3214285714	0
2	9	4	3	0	0	0	0.3	0
2	10	3.333333333	1.666666667	1	1	0	0	0

3	1	1.5	3	0	0	0	0.1	0
3	2	0	2.5	0	0	0	0.08333333333	0
3	3	2	4	0	0	0	0.08333333333	0
3	4	4	5	0	0	0	0	0
3	5	0.5	0	0	0	0	0.1428571429	0
3	6	2	5	0	0	0	0	0
3	7	3	0	0	0	0	0.2	0
3	8	3	3.5	0	0	0	0.1	0
3	9	4	3	0	0	0	0.1363636364	0
3	10	3	2	1	1	0	0	0

4	1	1.5	3	0	0	0	0.09090909091	0
4	2	0	2.5	0	0	0	0.08333333333	0
4	3	2	4	0	0	0	0.07692307692	0
4	4	4	5	0	0	0	0	0
4	5	0.5	0	0	0	0	0.1428571429	0
4	6	2	5	0	0	0	0	0
4	7	3	0	0	0	0	0.2	0
4	8	3	4	0	0	0	0.1071428571	0
4	9	4	3	0	0	0	0.125	0
4	10	3	2	1	1	0	0	0

5	1	2.5	3	0	0	0	0.08333333333	0
5	2	0.3333333333	2.666666667	0	0	0	0.1052631579	0
5	3	2	4.5	0	0	0	0.04761904762	0
5	4	4	5	0	0	0	0	0
5	5	0.5	0	0	0	0	0.1428571429	0
5	6	3	5	0	0	0	0.1	0
5	7	3	0	0	0	0	0.2	0
5	8	3	4	0	0	0	0.09090909091	0
5	9	4	3	0	0	0	0.125	0
5	10	3	2	1	1	0	0	0

6	1	2.5	3	0	0	0	0.1428571429	0
6	2	0.3333333333	2.666666667	0	0	0	0.1363636364	0
