"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	4	3	0	0	0	0	0
0	2	0	5	0	0	0	0.25	0
0	3	2	5	0	0	0	0.1428571429	0
0	4	3	5	0	0	0	0.125	0
0	5	3	2	0	0	0	0.1428571429	0
0	6	3	3	0	0	0	0.125	0
0	7	4	4	0	0	0	0.1428571429	0
0	8	2	1	0	0	0	0	0
0	9	2	3	0	0	0	0.1111111111	0
0	10	1	4	1	1	0	0	0

1	1	4	3	0	0	0	0	0
1	2	0	5	0	0	0	0.2	0
1	3	2	4.5	0	0	0	0.1111111111	0
1	4	3	5	0	0	0	0.1111111111	0
1	5	3	2	0	0	0	0.09090909091	0
1	6	3	3	0	0	0	0.09090909091	0
1	7	4	4	0	0	0	0.1111111111	0
1	8	1.666666667	0.6666666667	0	0	0	0.07142857143	0
1	9	2	2.5	0	0	0	0.09090909091	0
1	10	1	4	1	1	0	0	0

2	1	4	3	0	0	0	0	0
2	2	0	5	0	0	0	0.2	0
2	3	2	4.5	0	0	0	0.1111111111	0
2	4	3	5	0	0	0	0.1111111111	0
2	5	3	2	0	0	0	0.07692307692	0
2	6	3	3	0	0	0	0.07692307692	0
2	7	4	4	0	0	0	0.1111111111	0
2	8	2.2	0.6	0	0	0	0.04545454545	0
2	9	2	2.5	0	0	0	0.08	0
2	10	1	4	1	1	0	0	0

3	1	4	2.5	0	0	0	0.1	0
3	2	0	5	0	0	0	0.3333333333	0
3	3	1.5	5	0	0	0	0.2352941176	0
3	4	3	4.5	0	0	0	0.1904761905	0
3	5	3	2	0	0	0	0.1428571429	0
3	6	3	3	0	0	0	0.1333333333	0
3	7	4	4	0	0	0	0.1818181818	0
3	8	2	0.5	0	0	0	0.1	0
3	9	2	2.5	0	0	0	0.1428571429	0
3	10	1.5	4	1	1	0	0	0

4	1	4	2.5	0	0	0	0.1	0
4	2	0	5	0	0	0	0.3333333333	0
4	3	1.5	5	0	0	0	0.2352941176	0
4	4	3	5	0	0	0	0.1818181818	0
4	5	3	2	0	0	0	0.1538461538	0
4	6	3	3.5	0	0	0	0.1666666667	0
4	7	4	4	0	0	0	0.1818181818	0
4	8	2.333333333	0.3333333333	0	0	0	0.06666666667	0
4	9	2	2.5	0	0	0	0.1538461538	0
4	10	1.5	4	1	1	0	0	0

5	1	4	2.5	0	0	0	0.09090909091	0
5	2	0	5	0	0	0	0.4	0
5	3	2	5	0	0	0	0.1818181818	0
5	4	3.5	5	0	0	0	0.1666666667	0
5	5	3	2	0	0	0	0.1538461538	0
5	6	3	3.5	0	0	0	0.1666666667	0
5	7	4	4	0	0	0	0.1666666667	0
5	8	2.333333333	0.3333333333	0	0	0	0.06666666667	0
5	9	2	2.5	0	0	0	0.1538461538	0
5	10	1.5	4	1	1	0	0	0

6	1	4	2.5	0	0	0	0	0
6	2	0	5	0	0	0	0.3333333333	0
