"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	2	5	0	0	0	0.1428571429	0
0	2	0	0	0	0	0	0	0
0	3	4	3	0	0	0	0	0
0	4	4	5	0	0	0	0	0
0	5	3	3	0	0	0	0	0
0	6	3	4	0	0	0	0.125	0
0	7	3	5	0	0	0	0	0
0	8	2	4	0	0	0	0.125	0
0	9	4	2	0	0	0	0	0
0	10	0	4	1	1	0	0	0

1	1	2	5	0	0	0	0.1111111111	0
1	2	0	0	0	0	0	0	0
1	3	4	3.5	0	0	0	0	0
1	4	4	5	0	0	0	0	0
1	5	3	3	0	0	0	0	0
1	6	3	4	0	0	0	0.1	0
1	7	3	5	0	0	0	0	0
1	8	2	3.5	0	0	0	0.1111111111	0
1	9	4	2	0	0	0	0	0
1	10	0	4	1	1	0	0	0

2	1	2	5	0	0	0	0.09090909091	0
2	2	0	0	0	0	0	0	0
2	3	4	4	0	0	0	0	0
2	4	4	5	0	0	0	0	0
2	5	3	3	0	0	0	0	0
2	6	3	4	0	0	0	0.07692307692	0
2	7	3	5	0	0	0	0	0
2	8	1.75	3	0	0	0	0.1111111111	0
2	9	3.666666667	2.333333333	0	0	0	0	0
2	10	0	4	1	1	0	0	0

3	1	2	4.5	0	0	0	0.1904761905	0
3	2	0.5	0	0	0	0	0	0
3	3	4	4	0	0	0	0.09090909091	0
3	4	4	5	0	0	0	0	0
3	5	3	3	0	0	0	0.09090909091	0
3	6	3	4	0	0	0	0.1666666667	0
3	7	3	5	0	0	0	0.1111111111	0
3	8	2	2.5	0	0	0	0.1818181818	0
3	9	4	2.5	0	0	0	0	0
3	10	0.5	4	1	1	0	0	0

4	1	2	4.5	0	0	0	0.25	0
4	2	0.3333333333	0.3333333333	0	0	0	0.375	0
4	3	4	4	0	0	0	0.07692307692	0
4	4	4	5	0	0	0	0	0
4	5	2.5	3	0	0	0	0.1785714286	0
4	6	3	4	0	0	0	0.2142857143	0
4	7	3	5	0	0	0	0.1818181818	0
4	8	2.5	2	0	0	0	0.1851851852	0
4	9	4	2	0	0	0	0.04166666667	0
4	10	0.6666666667	3.666666667	1	1	0	0	0

5	1	2	4	0	0	0	0.2	0
5	2	0.3333333333	0.3333333333	0	0	0	0.2307692308	0
5	3	4	4	0	0	0	0.07692307692	0
5	4	4	5	0	0	0	0	0
5	5	3	3	0	0	0	0.1428571429	0
5	6	3	4	0	0	0	0.1875	0
5	7	2.5	5	0	0	0	0.2380952381	0
5	8	2.25	1.75	0	0	0	0.1914893617	0
5	9	4	1.5	0	0	0	0	0
5	10	0.6666666667	3.666666667	1	1	0	0	0

6	1	2	4	0	0	0	0.2	0
6	2	0.5	0.5	0	0	0	0.3333333333	0
6	3	4	4	0	0	0	0	0
6	4	4	5	0	0	0	0	0
6	5	3	3	0	0	0	0.1463414634	0
6	6	3	4	0	0	0	0.1428571429	0
6	7	2.5	5	0	0	0	0.2	0
6	8	2	2	0	0	0	0.175	0
6	9	4	1.5	0	0	0	0	0
6	10	0.3333333333	3.333333333	1	1	0	0	0

7	1	2	4	0	0	0	0.2666666667	0
7	2	0.3333333333	0.6666666667	0	0	0	0.4736842105	0
7	3	4	4	0	0	0	0	0
7	4	4	5	0	0	0	0	0
7	5	3	3	0	0	0	0.1777777778	0
7	6	3	4	0	0	0	0.2	0
7	7	2.5	5	0	0	0	0.2	0
7	8	2.5	2	0	0	0	0.1875	0
7	9	3.75	1	0	0	0	0.1	0
7	10	0.5	3	1	1	0	0	0

8	1	2	4	0	0	0	0.1428571429	0
8	2	0.5	1	0	0	0	0.28	0
8	3	4	4	0	0	0	0	0
8	4	4	5	0	0	0	0	0
8	5	3	3	0	0	0	0.1136363636	0
8	6	3	4	0	0	0	0.07142857143	0
8	7	2.5	5	0	0	0	0.1578947368	0
8	8	2.666666667	1.666666667	0	0	0	0.1	0
8	9	4	1	0	0	0	0	0
8	10	0.5	3	1	1	0	0	0

9	1	2.5	4	0	0	0	0.1724137931	0
9	2	0.5	1	0	0	0	0.2903225806	0
9	3	4	4	0	0	0	0.07692307692	0
9	4	4	5	0	0	0	0	0
9	5	3	3	0	0	0	0.1428571429	0
9	6	3	5	0	0	0	0.1818181818	0
9	7	2	5	0	0	0	0.25	0
9	8	2.5	1.5	0	0	0	0.1454545455	0
9	9	4	1	0	0	0	0	0
9	10	0.6666666667	3.333333333	1	1	0	0	0

10	1	2.5	4	0	0	0	0.1923076923	0
10	2	0.3333333333	0.6666666667	0	0	0	0.375	0
10	3	4	4	0	0	0	0.07692307692	0
10	4	4	5	0	0	0	0	0
10	5	3	3	0	0	0	0.1590909091	0
10	6	3	5	0	0	0	0.1818181818	0
10	7	2	5	0	0	0	0.25	0
10	8	2.666666667	1.666666667	0	0	0	0.1538461538	0
10	9	4	1	0	0	0	0	0
10	10	0.6666666667	3.333333333	1	1	0	0	0

11	2	0.3333333333	0.6666666667	0	0	0.03092131164	0.380952381	0
11	3	4	4	0	0	0	0	0
11	4	4	5	0	0	0	0	0
11	5	3.5	3	0	0	0.002760786073	0.1	0
11	6	3	5	0	0	0	0.1	0
11	7	2	5	0	0	0	0.1818181818	0
11	8	2.2	2	0	0	0.04019795894	0.1967213115	0
11	9	4	1	0	0	0	0	0
11	10	0.3333333333	2.666666667	1	1	0.8304718623	0.1333333333	0
11	1	2.5	4	1	1	0.01104314429	0.1481481481	1

12	2	0.3333333333	0.6666666667	0	0	0.08196735218	0.380952381	0
12	3	4	4	0	0	0.09414647591	0.1666666667	0
12	4	4	5	0	0	0.02870533863	0.2222222222	0
12	5	3.5	3	0	0	0.07091740803	0.2333333333	0
12	6	3	5	0	0	0.1069760353	0.3	0
12	7	2	5	0	0	0.1143179447	0.3636363636	0
12	8	2.2	2	0	0	0.1074882103	0.3442622951	0
12	9	4	1	0	0	0.001209317716	0.08695652174	0
12	10	0.3333333333	2.666666667	1	1	1.32384891	0.1333333333	0
12	1	2.5	4	1	1	0.5464545885	0.1481481481	1

13	2	0.3333333333	0.6666666667	0	0	0.1100511187	0.380952381	0
13	3	4	4	0	0	0.1400135142	0.1666666667	0
13	4	4	5	0	0	0.06917970107	0.2222222222	0
13	5	3.5	3	0	0	0.1114311767	0.2333333333	0
13	6	3	5	0	0	0.1642325234	0.3	0
13	7	2	5	0	0	0.176434648	0.3636363636	0
13	8	2.2	2	0	0	0.1434548888	0.3442622951	0
13	9	4	1	0	0	0.007033140985	0.08695652174	0
13	10	0.3333333333	2.666666667	1	1	1.513320495	0.1333333333	0
13	1	2.5	4	1	1	0.6811053485	0.1481481481	1

14	3	4	4	0	0	0.1618548548	0.1666666667	0
14	4	4	5	0	0	0.09208700627	0.2222222222	0
14	5	3.5	3	0	0	0.1304741655	0.2333333333	0
14	6	3	5	0	0	0.1903226476	0.3	0
14	7	2	5	0	0	0.2042595589	0.3636363636	0
14	8	2.2	2	0	0	0.1603743845	0.3442622951	0
14	9	4	1	0	0	0.01257536347	0.08695652174	0
14	10	0.3333333333	2.666666667	1	1	1.591800751	0.4	0
14	1	2.5	4	1	1	0.7345079715	0.1481481481	1
14	2	0.3333333333	0.6666666667	1	1	0.3728395001	0.380952381	1

15	3	4	4	0	0	0.1722707081	0.1666666667	0
15	4	4	5	0	0	0.1033407053	0.2222222222	0
15	6	3	5	0	0	0.2023346867	0.3	0
15	7	2	5	0	0	0.2169095479	0.3636363636	0
15	8	2.2	2	0	0	0.1958070748	0.5245901639	0
15	9	4	1	0	0	0.01653941372	0.1304347826	0
15	10	0.3333333333	2.666666667	1	1	1.785612717	0.5	0
15	1	2.5	4	1	1	0.7580403099	0.2962962963	1
15	2	0.3333333333	0.6666666667	1	1	1.58801033	0.4285714286	1
15	5	3.5	3	1	1	0.2789418449	0.2666666667	1

16	3	4	4	0	0	0.2935906072	0.3333333333	0
16	4	4	5	0	0	0.1249412158	0.4444444444	0
16	6	3	5	0	0	0.2218278605	0.5	0
16	9	4	1	0	0	0.06553803954	0.347826087	0
16	10	0.3333333333	2.666666667	1	1	1.937404071	0.9666666667	0
16	1	2.5	4	1	1	0.8896260835	0.7037037037	1
16	2	0.3333333333	0.6666666667	1	1	1.996165853	0.9523809524	1
16	5	3.5	3	1	1	0.8789593935	0.6333333333	1
16	8	2.2	2	1	1	1.325750976	0.7049180328	0
16	7	2	5	1	1	0.2252900572	0.7272727273	1

17	4	4	5	0	0	0.1700330926	0.6666666667	0
17	6	3	5	0	0	0.3418069692	0.8	0
17	9	4	1	0	0	0.1850151234	0.8695652174	0
17	10	0.3333333333	2.666666667	1	1	2.325901188	0.9666666667	0
