"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	4	4	0	0	0	0	0
0	2	0	4	0	0	0	0.3333333333	0
0	3	2	4	0	0	0	0.125	0
0	4	1	1	0	0	0	0	0
0	5	4	2	0	0	0	0	0
0	6	3	5	0	0	0	0.2	0
0	7	2	2	0	0	0	0	0
0	8	4	5	0	0	0	0	0
0	9	4	3	0	0	0	0	0
0	10	0	5	1	1	0	0	0

1	1	4	4	0	0	0	0	0
1	2	0	4	0	0	0	0.2	0
1	3	1.666666667	4.333333333	0	0	0	0.1428571429	0
1	4	1	1	0	0	0	0	0
1	5	4	2	0	0	0	0	0
1	6	3	5	0	0	0	0.1428571429	0
1	7	2	2	0	0	0	0	0
1	8	4	5	0	0	0	0	0
1	9	4	3	0	0	0	0	0
1	10	0	5	1	1	0	0	0

2	1	4	4	0	0	0	0	0
2	2	0	4	0	0	0	0.1428571429	0
2	3	2	4.25	0	0	0	0.08108108108	0
2	4	1.5	1	0	0	0	0	0
2	5	4	2	0	0	0	0	0
2	6	3	5	0	0	0	0.1	0
2	7	2.333333333	2.666666667	0	0	0	0.02941176471	0
2	8	4	5	0	0	0	0	0
2	9	4	3	0	0	0	0	0
2	10	0	5	1	1	0	0	0

3	1	4	4	0	0	0	0	0
3	2	0	4	0	0	0	0.125	0
3	3	1.666666667	4.333333333	0	0	0	0.09090909091	0
3	4	1.333333333	1.333333333	0	0	0	0	0
3	5	4	2	0	0	0	0	0
3	6	3	5	0	0	0	0.1	0
3	7	2.5	3	0	0	0	0.02272727273	0
3	8	4	5	0	0	0	0	0
3	9	4	3	0	0	0	0	0
3	10	0	5	1	1	0	0	0

4	1	4	4	0	0	0	0	0
4	2	0	4	0	0	0	0.1428571429	0
4	3	2	4.25	0	0	0	0.08333333333	0
4	4	1.333333333	1.333333333	0	0	0	0	0
4	5	4	2	0	0	0	0	0
4	6	3	5	0	0	0	0.1	0
4	7	2.5	3	0	0	0	0.03846153846	0
4	8	4	5	0	0	0	0	0
4	9	4	3	0	0	0	0	0
4	10	0	5	1	1	0	0	0

5	1	4	4	0	0	0	0.09090909091	0
5	2	0	4	0	0	0	0.3333333333	0
5	3	2.333333333	4.333333333	0	0	0	0.2162162162	0
5	4	1.333333333	1.333333333	0	0	0	0.1578947368	0
5	5	4	2	0	0	0	0	0
5	6	3	5	0	0	0	0.2727272727	0
5	7	2.333333333	2.666666667	0	0	0	0.1538461538	0
5	8	4	5	0	0	0	0.1	0
5	9	4	3	0	0	0	0	0
5	10	0.6666666667	4.666666667	1	1	0	0	0

6	1	4	4	0	0	0	0.09090909091	0
6	2	0	4	0	0	0	0.3333333333	0
6	3	2.333333333	4.333333333	0	0	0	0.2162162162	0
6	4	1.5	1	0	0	0	0.08333333333	0
6	5	4	2	0	0	0	0	0
6	6	3	5	0	0	0	0.2727272727	0
6	7	1.666666667	2.333333333	0	0	0	0.1714285714	0
6	8	4	5	0	0	0	0.1	0
6	9	3.5	3	0	0	0	0.08333333333	0
6	10	0.6666666667	4.666666667	1	1	0	0	0

7	1	4	4	0	0	0	0.08333333333	0
7	2	0	4	0	0	0	0.3333333333	0
7	3	2	4.5	0	0	0	0.2222222222	0
7	4	1	0.75	0	0	0	0.05882352941	0
7	5	4	2	0	0	0	0	0
7	6	3	5	0	0	0	0.25	0
7	7	2.333333333	2.333333333	0	0	0	0.125	0
7	8	4	5	0	0	0	0.1	0
7	9	3.333333333	3.333333333	0	0	0	0.1142857143	0
7	10	0.6666666667	4.666666667	1	1	0	0	0

8	1	4	4	0	0	0	0.08333333333	0
8	2	0	4	0	0	0	0.3333333333	0
8	3	2	4	0	0	0	0.2307692308	0
8	4	0.5	0.5	0	0	0	0.09090909091	0
8	5	4	2	0	0	0	0	0
8	6	3	4.5	0	0	0	0.2083333333	0
8	7	2.5	2	0	0	0	0.08	0
8	8	4	5	0	0	0	0.1	0
8	9	3.5	3	0	0	0	0.08695652174	0
8	10	0.6666666667	4.666666667	1	1	0	0	0

9	1	4	4	0	0	0	0	0
9	2	0.5	4	0	0	0	0.2	0
9	3	2	4	0	0	0	0.1538461538	0
9	4	0.3333333333	0.6666666667	0	0	0	0	0
9	5	4	2	0	0	0	0	0
9	6	3	4.5	0	0	0	0.125	0
9	7	2.5	2	0	0	0	0	0
9	8	4	5	0	0	0	0.1	0
9	9	3.5	3	0	0	0	0.04347826087	0
9	10	0.5	5	1	1	0	0	0

10	1	4	4	0	0	0	0	0
10	2	0.5	4	0	0	0	0.1818181818	0
10	3	2	4	0	0	0	0.1463414634	0
10	4	0.3333333333	0.6666666667	0	0	0	0	0
10	5	4	2	0	0	0	0	0
10	6	3	4.5	0	0	0	0.12	0
10	7	2	2	0	0	0	0.02941176471	0
10	8	4	5	0	0	0	0.1	0
10	9	3.5	3	0	0	0	0.04166666667	0
10	10	0.5	5	1	1	0	0	0

11	1	4	4	0	0	0	0	0
11	2	0.3333333333	3.666666667	0	0	0.002854690426	0.1818181818	0
11	3	2	3.5	0	0	0.0003166742311	0.1176470588	0
11	4	0.3333333333	0.6666666667	0	0	0	0	0
11	5	4	2	0	0	0	0	0
11	6	2.5	5	0	0	0.002061849261	0.1666666667	0
11	7	2	2	0	0	0	0.02777777778	0
11	8	4	5	0	0	0	0.1	0
11	9	3.333333333	3.333333333	0	0	0	0.05555555556	0
11	10	0.5	5	1	1	0.03207423309	0	0

12	1	4	4	0	0	0.0001023798185	0	0
12	2	0.3333333333	3.666666667	0	0	0.00916360657	0.1818181818	0
12	3	2	3.5	0	0	0.002321858608	0.1176470588	0
12	4	0.3333333333	0.6666666667	0	0	2.036238274e-05	0	0
12	5	4	2	0	0	0	0	0
12	6	2.5	5	0	0	0.006253997741	0.1666666667	0
12	7	2	2	0	0	0.000142189383	0.02777777778	0
12	8	4	5	0	0	0.0003337002718	0.1	0
12	9	3.333333333	3.333333333	0	0	0.0003141626589	0.05555555556	0
12	10	0.5	5	1	1	0.0629713066	0	0

13	1	4	4	0	0	0.0006318284914	0	0
13	2	0.3333333333	3.666666667	0	0	0.01482993567	0.1818181818	0
13	3	2	3.5	0	0	0.004835560664	0.1176470588	0
