"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.type"	"V"	"V_i"	"V_n"	"inf_by"
0	1	3	3	0	0	0	0	0
0	2	0	4	0	0	0	0	0
0	3	2	4	0	0	0	0	0
0	4	1	1	0	0	0	0.1666666667	0
0	5	1	2	0	0	0	0.1111111111	0
0	6	1	0	0	0	0	0.2	0
0	7	0	2	0	0	0	0.1428571429	0
0	8	3	4	0	0	0	0	0
0	9	3	2	0	0	0	0.125	0
0	10	2	0	1	1	0	0	0

1	1	3.5	3	0	0	0	0	0
1	2	0	4	0	0	0	0	0
1	3	2	4	0	0	0	0	0
1	4	1	1	0	0	0	0.1666666667	0
1	5	1	2	0	0	0	0.1111111111	0
1	6	1	0	0	0	0	0.2	0
1	7	0	2	0	0	0	0.1428571429	0
1	8	3	4	0	0	0	0	0
1	9	3	2	0	0	0	0.1111111111	0
1	10	2	0	1	1	0	0	0

2	1	3.75	3	0	0	0	0.05263157895	0
2	2	0	4	0	0	0	0	0
2	3	2	4	0	0	0	0	0
2	4	1.5	1	0	0	0	0.1333333333	0
2	5	1	2	0	0	0	0.09090909091	0
2	6	1	0	0	0	0	0.1666666667	0
2	7	0	2	0	0	0	0.125	0
2	8	3	4	0	0	0	0	0
2	9	3	2	0	0	0	0.08333333333	0
2	10	2	0	1	1	0	0	0

3	1	4	3	0	0	0	0.05263157895	0
3	2	0	4	0	0	0	0	0
3	3	2	4	0	0	0	0	0
3	4	1.666666667	1.333333333	0	0	0	0.09090909091	0
3	5	1	2	0	0	0	0.07142857143	0
3	6	0.5	0	0	0	0	0.1333333333	0
3	7	0	1.5	0	0	0	0.1111111111	0
3	8	3	3.5	0	0	0	0	0
3	9	3	2	0	0	0	0.07692307692	0
3	10	2	0	1	1	0	0	0

4	1	3.666666667	2.666666667	0	0	0	0.04545454545	0
4	2	0	4	0	0	0	0	0
4	3	2	4	0	0	0	0	0
4	4	1.666666667	1.333333333	0	0	0	0.09090909091	0
4	5	1	2	0	0	0	0.07142857143	0
4	6	0.5	0	0	0	0	0.1333333333	0
4	7	0	1.5	0	0	0	0.1111111111	0
4	8	3.5	4	0	0	0	0	0
4	9	3	2	0	0	0	0.07692307692	0
4	10	2	0	1	1	0	0	0

