"time"	"b_cf"	"b_c2c"	"c_V"	"p_i"	"D_V"
0	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
1	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
2	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
3	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
4	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
5	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
6	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
7	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
8	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
9	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
10	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
11	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
12	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
13	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
14	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
15	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
16	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
17	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
18	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
19	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
20	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
21	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
22	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
23	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
24	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
25	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
26	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
27	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
28	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
29	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
30	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
31	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
32	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
33	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
34	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
35	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
36	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
37	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
38	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
39	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
40	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
41	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
42	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
43	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
44	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
45	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
46	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
47	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
48	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
49	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
50	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
51	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
52	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
53	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
54	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
55	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
56	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
57	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
58	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
59	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
60	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
61	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
62	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
63	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
64	0.229464571	0.7231031562	0.9113198353	0.8698657909	0.5
