"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	9	1
30	9	1
31	9	1
32	9	1
33	9	1
34	9	1
35	9	1
36	9	1
37	9	1
38	9	1
39	8	2
40	8	2
41	8	2
42	8	2
43	8	2
44	8	2
45	8	2
46	8	2
47	7	3
48	6	4
49	6	4
50	6	4
51	6	4
52	6	4
53	6	4
54	6	4
55	6	4
56	6	4
57	6	4
58	6	4
59	6	4
60	6	4
61	4	6
62	4	6
63	4	6
64	4	6
65	4	6
66	4	6
67	4	6
68	4	6
69	3	7
70	3	7
71	2	8
72	1	9
73	1	9
74	1	9
75	1	9
76	1	9
77	1	9
78	1	9
79	1	9
80	1	9
81	1	9
82	1	9
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
